ISBN,Title,価格,発行月,カートに追加
978-4-87311-887-1,NumPyによるデータ分析入門,"2,464",2019/09,
978-4-87311-886-4,レガシーコードからの脱却,"2,552",2019/09,
978-4-87311-865-9,Raspberry Piで学ぶコンピュータアーキテクチャ,"3,696",2019/09,
978-4-87311-801-7,ゲームデザインバイブル 第2版,"4,048",2019/09,
978-4-87311-880-2,詳説 Deep Learning,"3,872",2019/08,
978-4-87311-884-0,メイカーとスタートアップのための量産入門,"2,024",2019/08,
978-4-87311-883-3,世界チャンピオンの紙飛行機ブック,"1,936",2019/08,
978-4-87311-879-6,mBotでものづくりをはじめよう,"2,112",2019/07,
978-4-87311-870-3,データ指向アプリケーションデザイン,"4,048",2019/07,
978-4-87311-881-9,Python計算機科学新教本,"2,640",2019/06,
978-4-87311-876-5,micro:bitではじめるプログラミング 第2版,"1,760",2019/06,
978-4-87311-854-3,IPythonデータサイエンスクックブック 第2版,"3,696",2019/05,
978-4-87311-877-2,入門 Prometheus,"3,168",2019/05,
978-4-87311-873-4,Node.jsデザインパターン 第2版,"3,696",2019/05,
978-4-87311-874-1,Head First はじめてのプログラミング,"2,640",2019/04,
978-4-87311-875-8,分散システムデザインパターン,"2,288",2019/04,
978-4-87311-853-6,MESHをはじめよう,"2,112",2019/04,
978-4-87311-871-0,PythonによるWebスクレイピング 第2版,"2,816",2019/03,
978-4-87311-872-7,PythonによるAIプログラミング入門,"2,992",2019/03,
978-4-87311-878-9,Real World HTTP ミニ版,0,2019/03,
978-4-87311-859-8,WTF経済,"2,112",2019/02,
978-4-87311-868-0,機械学習のための特徴量エンジニアリング,"2,640",2019/02,
978-4-87311-869-7,Modern C++チャレンジ,"2,992",2019/02,
978-4-87311-864-2,入門 監視,"2,464",2019/01,
978-4-87311-866-6,インテリジェンス駆動型インシデントレスポンス,"2,992",2018/12,
978-4-87311-861-1,初めてのProcessing 第2版,"3,256",2018/12,
978-4-87311-867-3,Python機械学習クックブック,"2,992",2018/12,
978-4-87311-858-1,デザイニング・ボイスユーザーインターフェース,"2,816",2018/12,
978-4-87311-862-8,家庭の低温調理,"2,816",2018/11,
978-4-87311-833-8,バイオビルダー,"2,112",2018/11,
978-4-87311-860-4,エレガントなSciPy,"2,992",2018/11,
978-4-87311-846-8,Go言語による並行処理,"2,464",2018/10,
978-4-87311-857-4,RとKerasによるディープラーニング,"3,520",2018/10,
978-4-87311-848-2,エンジニアのためのマネジメントキャリアパス,"2,288",2018/09,
978-4-87311-851-2,問題解決のPythonプログラミング,"2,464",2018/09,
978-4-87311-850-5,Unityによるモバイルゲーム開発,"2,640",2018/08,
978-4-87311-856-7,進化的アーキテクチャ ,"2,464",2018/08,
978-4-87311-826-0,直感 Deep Learning,"2,992",2018/08,
978-4-87311-852-9,ハンダづけをはじめよう,"1,232",2018/08,
978-4-87311-855-0,プログラミングRust,"4,224",2018/08,
978-4-87311-849-9,Kafka,"3,168",2018/08,
978-4-87311-847-5,作って動かすALife,"2,288",2018/07,
978-4-87311-845-1,Pythonによるデータ分析入門 第2版,"3,344",2018/07,
978-4-87311-842-0,生き物としての力を取り戻す50の自然体験,"1,936",2018/07,
978-4-87311-836-9,ゼロから作るDeep Learning ❷,"3,168",2018/07,
978-4-87311-843-7,コンピュータサイエンス探偵の事件簿,"2,200",2018/06,
